Step value of: 0.1000
%Si	%C	%H	#Si	#C	#H	Density	Radius	L_X	L_Y	L_Z	plytyp	element	NUM
50.0000	50.0000	XXX	108	108	XXX	3.2134	XXX	13.0800	13.0800	13.0800	3C	XXX	XXX
49.3151	48.8584	1.8265	108	107	4	3.2074	1.9000	13.0800	13.0800	13.0800	3C	XXX	0
45.9459	46.8468	7.2072	102	104	16	3.0646	2.9000	13.0800	13.0800	13.0800	3C	XXX	1
41.5929	40.7080	17.6991	94	92	40	2.8089	3.9000	13.0800	13.0800	13.0800	3C	XXX	2
32.7103	37.3832	29.9065	70	80	64	2.2197	5.0000	13.0800	13.0800	13.0800	3C	XXX	3
33.9806	31.0680	34.9515	70	64	72	2.0831	6.0000	13.0800	13.0800	13.0800	3C	XXX	4
22.5131	20.9424	56.5445	43	40	108	1.3334	7.0000	13.0800	13.0800	13.0800	3C	XXX	5
50.0000	50.0000	XXX	64	64	XXX	3.2394	XXX	12.2920	10.6452	10.0530	2H	XXX	XXX
46.6165	47.3684	6.0150	62	63	8	3.1635	1.9000	12.2920	10.6452	10.0530	2H	XXX	0
42.3358	43.0657	14.5985	58	59	20	2.9763	2.9000	12.2920	10.6452	10.0530	2H	XXX	1
38.8489	36.6906	24.4604	54	51	34	2.7310	3.9000	12.2920	10.6452	10.0530	2H	XXX	2
30.0752	27.8195	42.1053	40	37	56	2.0504	5.0000	12.2920	10.6452	10.0530	2H	XXX	3
23.7624	20.7921	55.4455	24	21	56	1.2406	6.0000	12.2920	10.6452	10.0530	2H	XXX	4
16.9492	18.6441	64.4068	10	11	38	0.5697	7.0000	12.2920	10.6452	10.0530	2H	XXX	5
